epoca,loss,val_loss,accuracy,val_accuracy
41,0.07850223779678345,0.08023437857627869,0.8824999928474426,0.8799999952316284
42,0.07749855518341064,0.07913058251142502,0.8824999928474426,0.8799999952316284
43,0.07640811800956726,0.07796106487512589,0.8824999928474426,0.8899999856948853
44,0.07518129050731659,0.0765862837433815,0.8899999856948853,0.8999999761581421
45,0.07384517788887024,0.0750417485833168,0.8924999833106995,0.9100000262260437
46,0.07239759713411331,0.07335573434829712,0.8924999833106995,0.9100000262260437
47,0.07083392888307571,0.07163313031196594,0.8974999785423279,0.9100000262260437
48,0.06911458820104599,0.06975440680980682,0.8974999785423279,0.9100000262260437
49,0.06730681657791138,0.0677526593208313,0.8999999761581421,0.9200000166893005
50,0.06545285880565643,0.06565077602863312,0.9075000286102295,0.9200000166893005
51,0.06348280608654022,0.06350099295377731,0.9125000238418579,0.9200000166893005
52,0.061473459005355835,0.061443403363227844,0.9175000190734863,0.9200000166893005
53,0.05950809642672539,0.05937744304537773,0.9200000166893005,0.9300000071525574
54,0.05757667124271393,0.05739770084619522,0.9200000166893005,0.9300000071525574
55,0.05564878508448601,0.05537022650241852,0.9225000143051147,0.9399999976158142
56,0.05377095192670822,0.05342499911785126,0.9325000047683716,0.949999988079071
57,0.05193787440657616,0.05178271234035492,0.9350000023841858,0.949999988079071
58,0.05013477802276611,0.05002010241150856,0.9375,0.9599999785423279
59,0.04836926609277725,0.04828707128763199,0.9375,0.9599999785423279
60,0.04662058874964714,0.04663866013288498,0.9399999976158142,0.9599999785423279
61,0.044967394322156906,0.04496992751955986,0.9449999928474426,0.9599999785423279
62,0.04336805269122124,0.04342150688171387,0.949999988079071,0.9599999785423279
63,0.04185189679265022,0.04194615036249161,0.949999988079071,0.9599999785423279
64,0.04040076211094856,0.04056117683649063,0.949999988079071,0.9700000286102295
65,0.039022937417030334,0.03930647671222687,0.9574999809265137,0.9700000286102295
66,0.03773670271039009,0.03810354694724083,0.9574999809265137,0.9700000286102295
67,0.036495793610811234,0.03698229417204857,0.9624999761581421,0.9700000286102295
68,0.03532800450921059,0.035902418196201324,0.9624999761581421,0.9700000286102295
69,0.03423038125038147,0.03473161533474922,0.9649999737739563,0.9700000286102295
70,0.03319729119539261,0.033623505383729935,0.9674999713897705,0.9700000286102295
71,0.03220737352967262,0.0325712114572525,0.9700000286102295,0.9800000190734863
72,0.031286466866731644,0.031594887375831604,0.9700000286102295,0.9800000190734863
73,0.030429434031248093,0.030688054859638214,0.9700000286102295,0.9800000190734863
74,0.02961554378271103,0.02984064817428589,0.9700000286102295,0.9800000190734863
75,0.028859306126832962,0.028927531093358994,0.9700000286102295,0.9800000190734863
76,0.02815175987780094,0.028017178177833557,0.9700000286102295,0.9800000190734863
77,0.027458712458610535,0.027265001088380814,0.9750000238418579,0.9800000190734863
78,0.026897067204117775,0.026718532666563988,0.9725000262260437,0.9800000190734863
79,0.026392675936222076,0.02613253891468048,0.9725000262260437,0.9800000190734863
80,0.025929901748895645,0.02553010731935501,0.9750000238418579,0.9800000190734863
81,0.02547387406229973,0.02495182491838932,0.9750000238418579,0.9800000190734863
82,0.025046946480870247,0.02441905438899994,0.9750000238418579,0.9800000190734863
83,0.024650124832987785,0.02391849271953106,0.9750000238418579,0.9800000190734863
84,0.02427958883345127,0.023444944992661476,0.9775000214576721,0.9800000190734863
85,0.02393350750207901,0.02299652062356472,0.9775000214576721,0.9800000190734863
86,0.02360747568309307,0.0226353220641613,0.9775000214576721,0.9800000190734863
87,0.023310542106628418,0.02218550257384777,0.9775000214576721,0.9800000190734863
88,0.023041140288114548,0.0219333004206419,0.9775000214576721,0.9800000190734863
89,0.0227819737046957,0.02154533378779888,0.9775000214576721,0.9800000190734863
90,0.022530868649482727,0.021123221144080162,0.9775000214576721,0.9800000190734863
91,0.022321045398712158,0.020919857546687126,0.9775000214576721,0.9800000190734863
92,0.022102536633610725,0.020609676837921143,0.9775000214576721,0.9800000190734863
93,0.02188469097018242,0.020340178161859512,0.9775000214576721,0.9800000190734863
94,0.02170792780816555,0.020044591277837753,0.9800000190734863,0.9800000190734863
95,0.0215151384472847,0.019837509840726852,0.9800000190734863,0.9800000190734863
96,0.021351514384150505,0.019556423649191856,0.9800000190734863,0.9800000190734863
97,0.021178873255848885,0.019368087872862816,0.9800000190734863,0.9900000095367432
98,0.021023256704211235,0.019067473709583282,0.9800000190734863,0.9900000095367432
99,0.020876068621873856,0.018903274089097977,0.9800000190734863,0.9800000190734863
100,0.020736373960971832,0.018664875999093056,0.9800000190734863,0.9900000095367432
101,0.020598482340574265,0.018518701195716858,0.9800000190734863,0.9800000190734863
102,0.020462673157453537,0.018255921080708504,0.9800000190734863,0.9900000095367432
103,0.020340485498309135,0.018113508820533752,0.9800000190734863,0.9800000190734863
104,0.020218992605805397,0.01798953115940094,0.9800000190734863,0.9800000190734863
105,0.020112531259655952,0.017763717100024223,0.9800000190734863,0.9900000095367432
106,0.019985772669315338,0.017599914222955704,0.9800000190734863,0.9800000190734863
107,0.019889717921614647,0.01740284264087677,0.9800000190734863,0.9900000095367432
108,0.019786261022090912,0.01730448566377163,0.9825000166893005,0.9800000190734863
109,0.019687684252858162,0.017212720587849617,0.9825000166893005,0.9800000190734863
110,0.019597724080085754,0.01698225922882557,0.9825000166893005,0.9800000190734863
111,0.019501494243741035,0.01689118705689907,0.9825000166893005,0.9800000190734863
112,0.01941569149494171,0.01671876758337021,0.9825000166893005,0.9800000190734863
113,0.01932823657989502,0.016602003946900368,0.9825000166893005,0.9800000190734863
114,0.01925203949213028,0.016539612784981728,0.9825000166893005,0.9800000190734863
115,0.01918036863207817,0.016372207552194595,0.9825000166893005,0.9800000190734863
116,0.019087672233581543,0.016263678669929504,0.9825000166893005,0.9800000190734863
117,0.019024807959794998,0.01611681655049324,0.9825000166893005,0.9800000190734863
118,0.01895049773156643,0.01606527529656887,0.9825000166893005,0.9800000190734863
119,0.018877524882555008,0.015981540083885193,0.9825000166893005,0.9800000190734863
120,0.018824731931090355,0.015838824212551117,0.9825000166893005,0.9800000190734863
121,0.018746985122561455,0.015788711607456207,0.9825000166893005,0.9800000190734863
122,0.018684720620512962,0.015619555488228798,0.9825000166893005,0.9800000190734863
123,0.018626950681209564,0.015584477223455906,0.9825000166893005,0.9800000190734863
124,0.018566308543086052,0.01555680949240923,0.9825000166893005,0.9800000190734863
